id,question,answer,relation,source_triple,question_type,answer_original,answer_revised
Q_menerbitkan_13,"Lembaga apa yang menerbitkan peraturan tentang ""PerBADANLE_ARSIPNAS_19_2016""?",ARSIP NASIONAL,menerbitkan,ARSIP NASIONAL -> menerbitkan -> PerBADANLE_ARSIPNAS_19_2016,factoid,ARSIP NASIONAL,ARSIP NASIONAL
Q_menerbitkan_14,"Lembaga apa yang menerbitkan peraturan tentang ""PerMENTERI_KEMENTER_8_2019""?","KEMENTERIAN DESA, PEMBANGUNAN DAERAH TERTINGGAL, DAN TRANSMIGRASI",menerbitkan,"KEMENTERIAN DESA, PEMBANGUNAN DAERAH TERTINGGAL, DAN TRANSMIGRASI -> menerbitkan -> PerMENTERI_KEMENTER_8_2019",factoid,"KEMENTERIAN DESA, PEMBANGUNAN DAERAH TERTINGGAL, DAN TRANSMIGRASI","KEMENTERIAN DESA, PEMBANGUNAN DAERAH TERTINGGAL, DAN TRANSMIGRASI"
Q_menerbitkan_15,"Lembaga apa yang menerbitkan peraturan tentang ""PerBADANLE_ARSIPNAS_13_2015""?",ARSIP NASIONAL,menerbitkan,ARSIP NASIONAL -> menerbitkan -> PerBADANLE_ARSIPNAS_13_2015,factoid,ARSIP NASIONAL,ARSIP NASIONAL
Q_menerbitkan_16,"Lembaga apa yang menerbitkan peraturan tentang ""PerBADANLE_KOMISIPE_07_2018""?",KOMISI PEMBERANTASAN KORUPSI,menerbitkan,KOMISI PEMBERANTASAN KORUPSI -> menerbitkan -> PerBADANLE_KOMISIPE_07_2018,factoid,KOMISI PEMBERANTASAN KORUPSI,KOMISI PEMBERANTASAN KORUPSI
Q_menerbitkan_17,"Lembaga apa yang menerbitkan peraturan tentang ""PerBADANLE_ARSIPNAS_5_2021""?",ARSIP NASIONAL,menerbitkan,ARSIP NASIONAL -> menerbitkan -> PerBADANLE_ARSIPNAS_5_2021,factoid,ARSIP NASIONAL,ARSIP NASIONAL
Q_menerbitkan_18,"Lembaga apa yang menerbitkan peraturan tentang ""PerMENTERI_KEMENTER_P.24/MENLHK/SETJEN/KUM.1/4/2017_2017""?",KEMENTERIAN LINGKUNGAN HIDUP DAN KEHUTANAN,menerbitkan,KEMENTERIAN LINGKUNGAN HIDUP DAN KEHUTANAN -> menerbitkan -> PerMENTERI_KEMENTER_P.24/MENLHK/SETJEN/KUM.1/4/2017_2017,factoid,KEMENTERIAN LINGKUNGAN HIDUP DAN KEHUTANAN,KEMENTERIAN LINGKUNGAN HIDUP DAN KEHUTANAN
Q_menerbitkan_19,"Lembaga apa yang menerbitkan peraturan tentang ""PerMENTERI_KEMENTER_21_2018""?",KEMENTERIAN KESEHATAN,menerbitkan,KEMENTERIAN KESEHATAN -> menerbitkan -> PerMENTERI_KEMENTER_21_2018,factoid,KEMENTERIAN KESEHATAN,KEMENTERIAN KESEHATAN
Q_berlaku_20,Kapan peraturan PerMENTERI_KEMENTER_15_2017 ditetapkan?,09 Oktober 2017,berlakuPada,PerMENTERI_KEMENTER_15_2017 -> berlakuPada -> 09 Oktober 2017,factoid,09 Oktober 2017,09 Oktober 2017
Q_berlaku_21,Kapan peraturan PerBADANLE_BADANPEL_2_2022 ditetapkan?,01 Maret 2022,berlakuPada,PerBADANLE_BADANPEL_2_2022 -> berlakuPada -> 01 Maret 2022,factoid,01 Maret 2022,01 Maret 2022
Q_berlaku_22,Kapan peraturan PerBADANLE_ARSIPNAS_3_2015 ditetapkan?,12 Januari 2015,berlakuPada,PerBADANLE_ARSIPNAS_3_2015 -> berlakuPada -> 12 Januari 2015,factoid,12 Januari 2015,12 Januari 2015
Q_berlaku_23,Kapan peraturan PerMENTERI_KEMENTER_8_2021 ditetapkan?,10 Februari 2021,berlakuPada,PerMENTERI_KEMENTER_8_2021 -> berlakuPada -> 10 Februari 2021,factoid,10 Februari 2021,10 Februari 2021
Q_berlaku_24,Kapan peraturan PerBADANLE_ARSIPNAS_2_2013 ditetapkan?,22 Januari 2013,berlakuPada,PerBADANLE_ARSIPNAS_2_2013 -> berlakuPada -> 22 Januari 2013,factoid,22 Januari 2013,22 Januari 2013
Q_berlaku_25,Kapan peraturan PerBADANLE_BADANPEL_3_2022 ditetapkan?,01 Maret 2022,berlakuPada,PerBADANLE_BADANPEL_3_2022 -> berlakuPada -> 01 Maret 2022,factoid,01 Maret 2022,01 Maret 2022
Q_berlaku_26,Kapan peraturan PerBADANLE_ARSIPNAS_8_2016 ditetapkan?,27 Januari 2016,berlakuPada,PerBADANLE_ARSIPNAS_8_2016 -> berlakuPada -> 27 Januari 2016,factoid,27 Januari 2016,27 Januari 2016
Q_berlaku_27,Kapan peraturan PerBADANLE_BADANPUS_63_2013 ditetapkan?,04 Desember 2013,berlakuPada,PerBADANLE_BADANPUS_63_2013 -> berlakuPada -> 04 Desember 2013,factoid,04 Desember 2013,04 Desember 2013
Q_berlaku_28,Kapan peraturan PerMENTERI_KEMENTER_8_2015 ditetapkan?,26 Agustus 2015,berlakuPada,PerMENTERI_KEMENTER_8_2015 -> berlakuPada -> 26 Agustus 2015,factoid,26 Agustus 2015,26 Agustus 2015
Q_berlaku_29,Kapan peraturan PerBADANLE_ARSIPNAS_40_2015 ditetapkan?,07 Agustus 2015,berlakuPada,PerBADANLE_ARSIPNAS_40_2015 -> berlakuPada -> 07 Agustus 2015,factoid,07 Agustus 2015,07 Agustus 2015
Q_berlaku_30,Kapan peraturan PerBADANLE_ARSIPNAS_4_2025 ditetapkan?,20 Maret 2025,berlakuPada,PerBADANLE_ARSIPNAS_4_2025 -> berlakuPada -> 20 Maret 2025,factoid,20 Maret 2025,20 Maret 2025
Q_berlaku_31,Kapan peraturan PerBADANLE_KOMISINA_6_2020 ditetapkan?,21 Desember 2020,berlakuPada,PerBADANLE_KOMISINA_6_2020 -> berlakuPada -> 21 Desember 2020,factoid,21 Desember 2020,21 Desember 2020
Q_berlaku_32,Kapan peraturan PerMENTERI_KEMENTER_276/PMK.01/2014_2014 ditetapkan?,31 Desember 2014,berlakuPada,PerMENTERI_KEMENTER_276/PMK.01/2014_2014 -> berlakuPada -> 31 Desember 2014,factoid,31 Desember 2014,31 Desember 2014
Q_berlaku_33,Kapan peraturan PerBADANLE_KOMISIPE_8_2022 ditetapkan?,27 Desember 2022,berlakuPada,PerBADANLE_KOMISIPE_8_2022 -> berlakuPada -> 27 Desember 2022,factoid,27 Desember 2022,27 Desember 2022
Q_berlaku_34,Kapan peraturan PerPRESIDE_PEMERINT_15_2017 ditetapkan?,13 Februari 2017,berlakuPada,PerPRESIDE_PEMERINT_15_2017 -> berlakuPada -> 13 Februari 2017,factoid,13 Februari 2017,13 Februari 2017
Q_mengatur_35,Peraturan PerMENTERI_KEMENTER_5_2015 mengatur tentang kategori apa?,Penyelenggaraan Kearsipan,mengatur,PerMENTERI_KEMENTER_5_2015 -> mengatur -> Penyelenggaraan Kearsipan,factoid,Penyelenggaraan Kearsipan,Penyelenggaraan Kearsipan (PK)
Q_mengatur_36,Peraturan PerBADANLE_ARSIPNAS_12_2015 mengatur tentang kategori apa?,Jadwal Retensi Arsip,mengatur,PerBADANLE_ARSIPNAS_12_2015 -> mengatur -> Jadwal Retensi Arsip,factoid,Jadwal Retensi Arsip,Jadwal Retensi Arsip (JRA)
Q_mengatur_37,Peraturan PerBADANLE_BADANPEN_4_2019 mengatur tentang kategori apa?,Sistem Klasifikasi Keamanan dan Akses Arsip Dinamis,mengatur,PerBADANLE_BADANPEN_4_2019 -> mengatur -> Sistem Klasifikasi Keamanan dan Akses Arsip Dinamis,factoid,Sistem Klasifikasi Keamanan dan Akses Arsip Dinamis,Sistem Klasifikasi Keamanan dan Akses Arsip Dinamis (SKKAAD)
Q_mengatur_38,Peraturan PerDAERAH_PROVINSI_5_1990 mengatur tentang kategori apa?,Penyelenggaraan Kearsipan,mengatur,PerDAERAH_PROVINSI_5_1990 -> mengatur -> Penyelenggaraan Kearsipan,factoid,Penyelenggaraan Kearsipan,Penyelenggaraan Kearsipan (PK)
Q_mengatur_39,Peraturan PerMENTERI_KEMENTER_14_2019 mengatur tentang kategori apa?,Jadwal Retensi Arsip,mengatur,PerMENTERI_KEMENTER_14_2019 -> mengatur -> Jadwal Retensi Arsip,factoid,Jadwal Retensi Arsip,Jadwal Retensi Arsip (JRA)
Q_mengatur_40,Peraturan PerBADANLE_ARSIPNAS_3_2006 mengatur tentang kategori apa?,Penyelenggaraan Kearsipan,mengatur,PerBADANLE_ARSIPNAS_3_2006 -> mengatur -> Penyelenggaraan Kearsipan,factoid,Penyelenggaraan Kearsipan,Penyelenggaraan Kearsipan (PK)
Q_mengatur_41,Peraturan PerBADANLE_ARSIPNAS_13_2016 mengatur tentang kategori apa?,Jadwal Retensi Arsip,mengatur,PerBADANLE_ARSIPNAS_13_2016 -> mengatur -> Jadwal Retensi Arsip,factoid,Jadwal Retensi Arsip,Jadwal Retensi Arsip (JRA)
Q_mengatur_42,Peraturan PerMENTERI_KEMENTER_1_2025 mengatur tentang kategori apa?,Klasifikasi Arsip,mengatur,PerMENTERI_KEMENTER_1_2025 -> mengatur -> Klasifikasi Arsip,factoid,Klasifikasi Arsip,Klasifikasi Arsip (KA)
Q_mengatur_43,Peraturan PerBADANLE_ARSIPNAS_27_2016 mengatur tentang kategori apa?,Jadwal Retensi Arsip,mengatur,PerBADANLE_ARSIPNAS_27_2016 -> mengatur -> Jadwal Retensi Arsip,factoid,Jadwal Retensi Arsip,Jadwal Retensi Arsip (JRA)
Q_mengatur_44,Peraturan PerBADANLE_BADANPEL_3_2022 mengatur tentang kategori apa?,Jadwal Retensi Arsip,mengatur,PerBADANLE_BADANPEL_3_2022 -> mengatur -> Jadwal Retensi Arsip,factoid,Jadwal Retensi Arsip,Jadwal Retensi Arsip (JRA)
Q_mengatur_45,Peraturan PerDAERAH_KOTABOGO_46_2018 mengatur tentang kategori apa?,Penyelenggaraan Kearsipan,mengatur,PerDAERAH_KOTABOGO_46_2018 -> mengatur -> Penyelenggaraan Kearsipan,factoid,Penyelenggaraan Kearsipan,Penyelenggaraan Kearsipan (PK)
Q_mengatur_46,Peraturan PerBADANLE_ARSIPNAS_6_2014 mengatur tentang kategori apa?,Jadwal Retensi Arsip,mengatur,PerBADANLE_ARSIPNAS_6_2014 -> mengatur -> Jadwal Retensi Arsip,factoid,Jadwal Retensi Arsip,Jadwal Retensi Arsip (JRA)
Q_mengatur_47,Peraturan PerMENTERI_KEMENTER_73_2020 mengatur tentang kategori apa?,Sistem Klasifikasi Keamanan dan Akses Arsip Dinamis,mengatur,PerMENTERI_KEMENTER_73_2020 -> mengatur -> Sistem Klasifikasi Keamanan dan Akses Arsip Dinamis,factoid,Sistem Klasifikasi Keamanan dan Akses Arsip Dinamis,Sistem Klasifikasi Keamanan dan Akses Arsip Dinamis (SKKAAD)
Q_mengatur_48,Peraturan PerBADANLE_ARSIPNAS_19_2016 mengatur tentang kategori apa?,Perubahan/Amandemen,mengatur,PerBADANLE_ARSIPNAS_19_2016 -> mengatur -> Perubahan/Amandemen,factoid,Perubahan/Amandemen,Perubahan/Amandemen (PA)
Q_mengatur_49,Peraturan PerMENTERI_KEMENTER_8_2019 mengatur tentang kategori apa?,Perubahan/Amandemen,mengatur,PerMENTERI_KEMENTER_8_2019 -> mengatur -> Perubahan/Amandemen,factoid,Perubahan/Amandemen,Perubahan/Amandemen (PA)
Q_ditetapkan_50,Siapa pejabat yang menetapkan peraturan PerMENTERI_KEMENTER_23_2017?,YASONNA H. LAOLY,ditetapkanOleh,PerMENTERI_KEMENTER_23_2017 -> ditetapkanOleh -> YASONNA H. LAOLY,factoid,YASONNA H. LAOLY,YASONNA H. LAOLY
Q_ditetapkan_51,Siapa pejabat yang menetapkan peraturan PerMENTERI_KEMENTER_11_2013?,SALIM SEGAF AL JUFRI,ditetapkanOleh,PerMENTERI_KEMENTER_11_2013 -> ditetapkanOleh -> SALIM SEGAF AL JUFRI,factoid,SALIM SEGAF AL JUFRI,SALIM SEGAF AL JUFRI
Q_ditetapkan_52,Siapa pejabat yang menetapkan peraturan PerMENTERI_KEMENTER_6_2025?,NATALIUS PIGAI,ditetapkanOleh,PerMENTERI_KEMENTER_6_2025 -> ditetapkanOleh -> NATALIUS PIGAI,factoid,NATALIUS PIGAI,NATALIUS PIGAI
Q_ditetapkan_53,Siapa pejabat yang menetapkan peraturan PerMENTERI_KEMENTER_4_2013?,AMIR SYAMSUDIN,ditetapkanOleh,PerMENTERI_KEMENTER_4_2013 -> ditetapkanOleh -> AMIR SYAMSUDIN,factoid,AMIR SYAMSUDIN,AMIR SYAMSUDIN
Q_ditetapkan_54,Siapa pejabat yang menetapkan peraturan PerMENTERI_KEMENTER_57_2025?,SRI MULYANI INDRAWATI,ditetapkanOleh,PerMENTERI_KEMENTER_57_2025 -> ditetapkanOleh -> SRI MULYANI INDRAWATI,factoid,SRI MULYANI INDRAWATI,SRI MULYANI INDRAWATI
Q_ditetapkan_55,Siapa pejabat yang menetapkan peraturan PerDAERAH_KOTADEPO_1_2021?,MOHAMMAD IDRIS,ditetapkanOleh,PerDAERAH_KOTADEPO_1_2021 -> ditetapkanOleh -> MOHAMMAD IDRIS,factoid,MOHAMMAD IDRIS,MOHAMMAD IDRIS
Q_ditetapkan_56,Siapa pejabat yang menetapkan peraturan PerMENTERI_KEMENTER_5_2024?,SANDIAGA SALAHUDDIN UNO,ditetapkanOleh,PerMENTERI_KEMENTER_5_2024 -> ditetapkanOleh -> SANDIAGA SALAHUDDIN UNO,factoid,SANDIAGA SALAHUDDIN UNO,SANDIAGA SALAHUDDIN UNO
Q_ditetapkan_57,Siapa pejabat yang menetapkan peraturan PerBADANLE_ARSIPNAS_2_2025?,MEGO PINANDITO,ditetapkanOleh,PerBADANLE_ARSIPNAS_2_2025 -> ditetapkanOleh -> MEGO PINANDITO,factoid,MEGO PINANDITO,MEGO PINANDITO
Q_ditetapkan_58,Siapa pejabat yang menetapkan peraturan PerBADANLE_BADANPUS_1_2024?,AMALIA ADINGGAR WIDYASANTI,ditetapkanOleh,PerBADANLE_BADANPUS_1_2024 -> ditetapkanOleh -> AMALIA ADINGGAR WIDYASANTI,factoid,AMALIA ADINGGAR WIDYASANTI,AMALIA ADINGGAR WIDYASANTI
Q_ditetapkan_59,Siapa pejabat yang menetapkan peraturan PerMENTERI_KEMENTER_6_2012?,AMIR SYAMSUDIN,ditetapkanOleh,PerMENTERI_KEMENTER_6_2012 -> ditetapkanOleh -> AMIR SYAMSUDIN,factoid,AMIR SYAMSUDIN,AMIR SYAMSUDIN
Q_menggantikan_60,Peraturan apa yang dicabut/digantikan oleh PerMENTERI_KEMENTER_14_2021?,PerMENTERI_DESA_13_2017,menggantikan,PerMENTERI_KEMENTER_14_2021 -> menggantikan -> PerMENTERI_DESA_13_2017,factoid,PerMENTERI_DESA_13_2017,PerMENTERI_DESA_13_2017
Q_menggantikan_61,Peraturan apa yang dicabut/digantikan oleh PerBADANLE_ARSIPNAS_38_2016?,PerKEPALA_ARSP_32_2016,menggantikan,PerBADANLE_ARSIPNAS_38_2016 -> menggantikan -> PerKEPALA_ARSP_32_2016,factoid,PerKEPALA_ARSP_32_2016,PerKEPALA_ARSP_32_2016
Q_menggantikan_62,Peraturan apa yang dicabut/digantikan oleh PerBADANLE_ARSIPNAS_48_2015?,PerKEPALA_ARSPN_14_2015,menggantikan,PerBADANLE_ARSIPNAS_48_2015 -> menggantikan -> PerKEPALA_ARSPN_14_2015,factoid,PerKEPALA_ARSPN_14_2015,PerKEPALA_ARSPN_14_2015
Q_menggantikan_63,Peraturan apa yang dicabut/digantikan oleh PerBADANLE_ARSIPNAS_24_2016?,PerKEPALA_ARSN_24_2015,menggantikan,PerBADANLE_ARSIPNAS_24_2016 -> menggantikan -> PerKEPALA_ARSN_24_2015,factoid,PerKEPALA_ARSN_24_2015,PerKEPALA_ARSN_24_2015
Q_menggantikan_64,Peraturan apa yang dicabut/digantikan oleh PerBADANLE_BADANPEN_12_2020?,BAPEMRA_32_2018,menggantikan,PerBADANLE_BADANPEN_12_2020 -> menggantikan -> BAPEMRA_32_2018,factoid,BAPEMRA_32_2018,BAPEMRA_32_2018
Q_menggantikan_65,Peraturan apa yang dicabut/digantikan oleh PerBADANLE_ARSIPNAS_3_2017?,PerBADANLE_ARSIPNAS_40_2015,menggantikan,PerBADANLE_ARSIPNAS_3_2017 -> menggantikan -> PerBADANLE_ARSIPNAS_40_2015,factoid,PerBADANLE_ARSIPNAS_40_2015,PERATURAN BADAN/LEMBAGA Nomor 40 Tahun 2015 tentang RENCANA STRATEGIS ARSIP NASIONAL REPUBLIK INDONESIA TAHUN 20152019
Q_menggantikan_66,Peraturan apa yang dicabut/digantikan oleh PerMENTERI_KEMENTER_135_2017?,PerMENTERI_DALAM_NEGERI_78_2012,menggantikan,PerMENTERI_KEMENTER_135_2017 -> menggantikan -> PerMENTERI_DALAM_NEGERI_78_2012,factoid,PerMENTERI_DALAM_NEGERI_78_2012,PerMENTERI_DALAM_NEGERI_78_2012
Q_menggantikan_67,Peraturan apa yang dicabut/digantikan oleh PerBADANLE_ARSIPNAS_4_2018?,PerKEPALA_ARSNAS_6_2017,menggantikan,PerBADANLE_ARSIPNAS_4_2018 -> menggantikan -> PerKEPALA_ARSNAS_6_2017,factoid,PerKEPALA_ARSNAS_6_2017,PerKEPALA_ARSNAS_6_2017
Q_menggantikan_68,Peraturan apa yang dicabut/digantikan oleh PerBADANLE_ARSIPNAS_14_2017?,PerBADANLE_ARSIPNAS_6_2013,menggantikan,PerBADANLE_ARSIPNAS_14_2017 -> menggantikan -> PerBADANLE_ARSIPNAS_6_2013,factoid,PerBADANLE_ARSIPNAS_6_2013,PERATURAN BADAN/LEMBAGA Nomor 6 Tahun 2013 tentang PEDOMAN RETENSI ARSIP KEUANGAN
Q_menggantikan_69,Peraturan apa yang dicabut/digantikan oleh PerMENTERI_KEMENTER_8_2019?,PerMENTERI_DESA_3_2017,menggantikan,PerMENTERI_KEMENTER_8_2019 -> menggantikan -> PerMENTERI_DESA_3_2017,factoid,PerMENTERI_DESA_3_2017,PerMENTERI_DESA_3_2017
Q_amend_70,Peraturan PerMENTERI_KEMENTER_4_2024 mengamendemen peraturan apa?,PerMENTERI_KEMENKEU_4_2024,menggantikan_sebagian,PerMENTERI_KEMENTER_4_2024 -> menggantikan_sebagian -> PerMENTERI_KEMENKEU_4_2024,factoid,PerMENTERI_KEMENKEU_4_2024,PerMENTERI_KEMENKEU_4_2024
Q_amend_71,Peraturan PerBADANLE_BADANKEP_6_2024 mengamendemen peraturan apa?,PerBADANKEP_1_2022,menggantikan_sebagian,PerBADANLE_BADANKEP_6_2024 -> menggantikan_sebagian -> PerBADANKEP_1_2022,factoid,PerBADANKEP_1_2022,PerBADANKEP_1_2022
Q_amend_72,Peraturan PerMENTERI_KEMENTER_PM112_2018 mengamendemen peraturan apa?,PerMENTERI_PERHUB_PM78_2010,menggantikan_sebagian,PerMENTERI_KEMENTER_PM112_2018 -> menggantikan_sebagian -> PerMENTERI_PERHUB_PM78_2010,factoid,PerMENTERI_PERHUB_PM78_2010,PerMENTERI_PERHUB_PM78_2010
Q_amend_73,Peraturan PerMENTERI_KEMENTER_15_2020 mengamendemen peraturan apa?,PerMENTERI_ENERGI_11_2018,menggantikan_sebagian,PerMENTERI_KEMENTER_15_2020 -> menggantikan_sebagian -> PerMENTERI_ENERGI_11_2018,factoid,PerMENTERI_ENERGI_11_2018,PerMENTERI_ENERGI_11_2018
Q_amend_74,Peraturan PerMENTERI_KEMENTER_10_2021 mengamendemen peraturan apa?,PerPAUD_12_2018,menggantikan_sebagian,PerMENTERI_KEMENTER_10_2021 -> menggantikan_sebagian -> PerPAUD_12_2018,factoid,PerPAUD_12_2018,PerPAUD_12_2018
Q_amend_75,Peraturan PerBADANLE_PUSATPEL_15_2017 mengamendemen peraturan apa?,PerPUSATPEL_06_2014,menggantikan_sebagian,PerBADANLE_PUSATPEL_15_2017 -> menggantikan_sebagian -> PerPUSATPEL_06_2014,factoid,PerPUSATPEL_06_2014,PerPUSATPEL_06_2014
Q_amend_76,Peraturan PerBADANLE_ARSIPNAS_15_2016 mengamendemen peraturan apa?,PerBADANLE_ARSIPNAS_13_2014,menggantikan_sebagian,PerBADANLE_ARSIPNAS_15_2016 -> menggantikan_sebagian -> PerBADANLE_ARSIPNAS_13_2014,factoid,PerBADANLE_ARSIPNAS_13_2014,PERATURAN BADAN/LEMBAGA Nomor 13 Tahun 2014 tentang PEDOMAN RETENSI ARSIP SEKTOR KESEJAHTERAAN RAKYAT URUSAN PENDIDIKAN DAN KEBUDAYAAN
Q_amend_77,Peraturan PerMENTERI_KEMENTER_56_2016 mengamendemen peraturan apa?,PerMENTERI_HUKUM_12_2012,menggantikan_sebagian,PerMENTERI_KEMENTER_56_2016 -> menggantikan_sebagian -> PerMENTERI_HUKUM_12_2012,factoid,PerMENTERI_HUKUM_12_2012,PerMENTERI_HUKUM_12_2012
Q_amend_78,Peraturan PerBADANLE_ARSIPNAS_10_2017 mengamendemen peraturan apa?,PerKEPALA_AR_22_2016,menggantikan_sebagian,PerBADANLE_ARSIPNAS_10_2017 -> menggantikan_sebagian -> PerKEPALA_AR_22_2016,factoid,PerKEPALA_AR_22_2016,PerKEPALA_AR_22_2016
Q_amend_79,Peraturan PerMENTERI_KEMENTER_14_2021 mengamendemen peraturan apa?,PerMENTERI_DESA_12_2016,menggantikan_sebagian,PerMENTERI_KEMENTER_14_2021 -> menggantikan_sebagian -> PerMENTERI_DESA_12_2016,factoid,PerMENTERI_DESA_12_2016,PerMENTERI_DESA_12_2016
Q_multihop_80,"Berapa banyak peraturan kategori ""Sistem Klasifikasi Keamanan dan Akses Arsip Dinamis"" yang diterbitkan oleh BADAN NASIONAL PENANGGULANGAN BENCANA?",2,multi_hop,BADAN NASIONAL PENANGGULANGAN BENCANA -> menerbitkan -> [N=2] -> mengatur -> Sistem Klasifikasi Keamanan dan Akses Arsip Dinamis,count,2,2
